lsoa11,Gender,Age,n
E01017681,Male (including trans man),35,1
E01017681,Male (including trans man),40,1
E01017681,Male (including trans man),64,1
E01017681,Male (including trans man),77,2
E01017681,Non-binary,89,1
E01017693,Male (including trans man),14,5
E01017693,Male (including trans man),15,3
E01017693,Male (including trans man),16,2
E01017693,Male (including trans man),17,1
E01017693,Male (including trans man),20,1
E01017693,Male (including trans man),21,1
E01017693,Male (including trans man),22,1
E01017693,Male (including trans man),23,4
E01017693,Male (including trans man),24,1
E01017693,Male (including trans man),27,2
E01017693,Male (including trans man),28,4
E01017693,Male (including trans man),29,2
E01017693,Male (including trans man),30,4
E01017693,Male (including trans man),31,4
E01017693,Male (including trans man),32,3
E01017693,Male (including trans man),33,3
E01017693,Male (including trans man),36,3
E01017693,Male (including trans man),37,2
E01017693,Male (including trans man),38,1
E01017693,Male (including trans man),39,3
E01017693,Male (including trans man),40,1
E01017693,Male (including trans man),42,3
E01017693,Male (including trans man),43,1
E01017693,Male (including trans man),44,1
E01017693,Male (including trans man),48,4
E01017693,Male (including trans man),49,2
E01017693,Male (including trans man),51,1
E01017693,Male (including trans man),52,1
E01017693,Male (including trans man),53,1
E01017693,Male (including trans man),54,4
E01017693,Male (including trans man),55,3
E01017693,Male (including trans man),57,4
E01017693,Male (including trans man),60,3
E01017693,Male (including trans man),61,3
E01017693,Male (including trans man),63,1
E01017693,Male (including trans man),64,2
E01017693,Male (including trans man),66,4
E01017693,Male (including trans man),67,3
E01017693,Male (including trans man),68,1
E01017693,Male (including trans man),69,3
E01017693,Male (including trans man),70,1
E01017693,Male (including trans man),72,1
E01017693,Male (including trans man),74,3
E01017693,Male (including trans man),76,1
E01017693,Male (including trans man),77,8
E01017693,Male (including trans man),78,2
E01017693,Male (including trans man),79,1
E01017693,Male (including trans man),80,2
E01017693,Male (including trans man),81,1
E01017693,Male (including trans man),82,4
E01017693,Male (including trans man),83,1
E01017693,Male (including trans man),84,1
E01017693,Male (including trans man),86,2
E01017693,Male (including trans man),88,4
E01017693,Male (including trans man),89,2
E01017693,Female (including trans woman),12,4
E01017693,Female (including trans woman),13,2
E01017693,Female (including trans woman),14,1
E01017693,Female (including trans woman),15,5
E01017693,Female (including trans woman),17,2
E01017693,Female (including trans woman),18,1
E01017693,Female (including trans woman),19,1
E01017693,Female (including trans woman),20,2
E01017693,Female (including trans woman),22,1
E01017693,Female (including trans woman),23,3
E01017693,Female (including trans woman),24,2
E01017693,Female (including trans woman),25,2
E01017693,Female (including trans woman),27,2
E01017693,Female (including trans woman),28,1
E01017693,Female (including trans woman),29,3
E01017693,Female (including trans woman),31,1
E01017693,Female (including trans woman),32,2
E01017693,Female (including trans woman),33,1
E01017693,Female (including trans woman),34,1
E01017693,Female (including trans woman),35,2
E01017693,Female (including trans woman),36,2
E01017693,Female (including trans woman),37,1
E01017693,Female (including trans woman),38,1
E01017693,Female (including trans woman),39,1
E01017693,Female (including trans woman),40,3
E01017693,Female (including trans woman),41,1
E01017693,Female (including trans woman),42,1
E01017693,Female (including trans woman),43,2
E01017693,Female (including trans woman),44,2
E01017693,Female (including trans woman),45,1
E01017693,Female (including trans woman),46,1
E01017693,Female (including trans woman),48,2
E01017693,Female (including trans woman),49,1
E01017693,Female (including trans woman),50,1
E01017693,Female (including trans woman),52,1
E01017693,Female (including trans woman),54,3
E01017693,Female (including trans woman),58,1
E01017693,Female (including trans woman),59,1
E01017693,Female (including trans woman),60,1
E01017693,Female (including trans woman),61,1
E01017693,Female (including trans woman),62,1
E01017693,Female (including trans woman),63,2
E01017693,Female (including trans woman),64,1
E01017693,Female (including trans woman),65,2
E01017693,Female (including trans woman),67,3
E01017693,Female (including trans woman),70,2
E01017693,Female (including trans woman),72,2
E01017693,Female (including trans woman),73,4
E01017693,Female (including trans woman),75,1
E01017693,Female (including trans woman),76,2
E01017693,Female (including trans woman),77,1
E01017693,Female (including trans woman),78,2
E01017693,Female (including trans woman),79,3
E01017693,Female (including trans woman),80,2
E01017693,Female (including trans woman),87,1
E01017693,Female (including trans woman),89,2
E01017693,Non-binary,21,1
E01017693,Non-binary,23,1
E01017693,Non-binary,33,1
E01017693,Non-binary,39,1
E01017693,Non-binary,84,1
E01017693,Other (not listed),39,1
E01017693,Not known or not stated,19,1
E01017693,Not known or not stated,72,1
E01017694,Male (including trans man),13,1
E01017694,Male (including trans man),14,1
E01017694,Male (including trans man),20,1
E01017694,Male (including trans man),22,1
E01017694,Male (including trans man),23,1
E01017694,Male (including trans man),24,1
E01017694,Male (including trans man),26,1
E01017694,Male (including trans man),27,1
E01017694,Male (including trans man),30,2
E01017694,Male (including trans man),36,1
E01017694,Male (including trans man),41,1
E01017694,Male (including trans man),43,1
E01017694,Male (including trans man),44,1
E01017694,Male (including trans man),46,1
E01017694,Male (including trans man),48,1
E01017694,Male (including trans man),49,1
E01017694,Male (including trans man),54,2
E01017694,Male (including trans man),59,1
E01017694,Male (including trans man),62,1
E01017694,Male (including trans man),63,1
E01017694,Male (including trans man),65,1
E01017694,Male (including trans man),71,1
E01017694,Male (including trans man),73,1
E01017694,Male (including trans man),74,2
E01017694,Male (including trans man),75,1
E01017694,Male (including trans man),80,1
E01017694,Male (including trans man),86,1
E01017694,Male (including trans man),87,2
E01017694,Male (including trans man),88,1
E01017694,Female (including trans woman),13,1
E01017694,Female (including trans woman),24,1
E01017694,Female (including trans woman),46,1
E01017694,Female (including trans woman),49,1
E01017694,Female (including trans woman),56,2
E01017694,Female (including trans woman),58,1
E01017694,Female (including trans woman),65,2
E01017694,Female (including trans woman),66,1
E01017694,Female (including trans woman),69,1
E01017694,Female (including trans woman),72,1
E01017694,Female (including trans woman),76,1
E01017694,Female (including trans woman),89,1
E01017694,Non-binary,45,1
E01017694,Non-binary,72,1
E01017842,Male (including trans man),39,1
E01017842,Male (including trans man),49,2
E01017842,Male (including trans man),52,1
E01017842,Male (including trans man),66,1
E01017842,Male (including trans man),72,1
E01017842,Male (including trans man),78,1
E01017842,Male (including trans man),87,1
E01017842,Male (including trans man),88,1
E01017842,Female (including trans woman),19,1
E01017842,Female (including trans woman),40,2
E01017842,Female (including trans woman),59,2
E01017842,Female (including trans woman),66,1
E01017842,Female (including trans woman),70,2
E01017877,Male (including trans man),23,1
E01017877,Male (including trans man),53,1
E01017877,Male (including trans man),65,1
E01017877,Female (including trans woman),19,1
E01017877,Female (including trans woman),34,1
E01017877,Female (including trans woman),60,1
E01017877,Not known or not stated,46,1
E01017878,Male (including trans man),29,1
E01017878,Male (including trans man),36,1
E01017878,Male (including trans man),62,1
E01017878,Female (including trans woman),79,1
E01017885,Male (including trans man),32,1
E01017885,Male (including trans man),45,1
E01017885,Male (including trans man),65,1
E01017885,Female (including trans woman),16,1
E01017885,Female (including trans woman),29,1
E01017885,Female (including trans woman),42,1
E01017915,Male (including trans man),34,1
E01017915,Male (including trans man),35,1
E01017915,Male (including trans man),43,1
E01017915,Female (including trans woman),29,1
E01017915,Female (including trans woman),36,1
E01017915,Female (including trans woman),86,1
E01017915,Non-binary,35,1
E01017916,Male (including trans man),33,1
E01017916,Male (including trans man),46,1
E01017916,Male (including trans man),76,1
E01017916,Female (including trans woman),31,2
E01017916,Female (including trans woman),72,1
E01017916,Female (including trans woman),87,1
E01022178,Male (including trans man),14,1
E01022178,Male (including trans man),20,1
E01022178,Male (including trans man),22,1
E01022178,Male (including trans man),30,3
E01022178,Male (including trans man),31,2
E01022178,Male (including trans man),33,1
E01022178,Male (including trans man),36,1
E01022178,Male (including trans man),37,1
E01022178,Male (including trans man),38,1
E01022178,Male (including trans man),42,1
E01022178,Male (including trans man),44,1
E01022178,Male (including trans man),45,1
E01022178,Male (including trans man),47,1
E01022178,Male (including trans man),48,2
E01022178,Male (including trans man),50,1
E01022178,Male (including trans man),51,2
E01022178,Male (including trans man),60,1
E01022178,Male (including trans man),63,2
E01022178,Male (including trans man),65,2
E01022178,Male (including trans man),66,1
E01022178,Male (including trans man),67,2
E01022178,Male (including trans man),68,1
E01022178,Male (including trans man),72,1
E01022178,Male (including trans man),73,1
E01022178,Male (including trans man),75,1
E01022178,Male (including trans man),80,1
E01022178,Male (including trans man),81,2
E01022178,Male (including trans man),85,1
E01022178,Male (including trans man),88,1
E01022178,Female (including trans woman),16,1
E01022178,Female (including trans woman),30,1
E01022178,Female (including trans woman),35,1
E01022178,Female (including trans woman),38,1
E01022178,Female (including trans woman),45,1
E01022178,Female (including trans woman),60,1
E01022178,Female (including trans woman),61,1
E01022178,Female (including trans woman),62,1
E01022178,Female (including trans woman),65,1
E01022178,Female (including trans woman),69,2
E01022178,Female (including trans woman),84,1
E01022214,Male (including trans man),16,1
E01022214,Male (including trans man),20,1
E01022214,Male (including trans man),25,1
E01022214,Male (including trans man),31,1
E01022214,Male (including trans man),34,1
E01022214,Male (including trans man),40,1
E01022214,Male (including trans man),44,1
E01022214,Male (including trans man),54,1
E01022214,Male (including trans man),56,2
E01022214,Male (including trans man),73,1
E01022214,Male (including trans man),83,1
E01022214,Male (including trans man),89,1
E01022214,Female (including trans woman),39,1
E01022214,Female (including trans woman),58,1
E01022214,Female (including trans woman),62,1
E01022214,Female (including trans woman),66,1
E01022214,Female (including trans woman),76,2
E01022214,Female (including trans woman),83,1
E01022215,Male (including trans man),13,1
E01022215,Male (including trans man),14,1
E01022215,Male (including trans man),15,1
E01022215,Male (including trans man),16,1
E01022215,Male (including trans man),20,2
E01022215,Male (including trans man),21,3
E01022215,Male (including trans man),22,1
E01022215,Male (including trans man),25,1
E01022215,Male (including trans man),26,1
E01022215,Male (including trans man),27,2
E01022215,Male (including trans man),29,1
E01022215,Male (including trans man),30,2
E01022215,Male (including trans man),31,5
E01022215,Male (including trans man),32,1
E01022215,Male (including trans man),34,1
E01022215,Male (including trans man),35,1
E01022215,Male (including trans man),37,2
E01022215,Male (including trans man),38,2
E01022215,Male (including trans man),41,2
E01022215,Male (including trans man),48,2
E01022215,Male (including trans man),51,2
E01022215,Male (including trans man),54,1
E01022215,Male (including trans man),56,1
E01022215,Male (including trans man),57,1
E01022215,Male (including trans man),58,2
E01022215,Male (including trans man),59,2
E01022215,Male (including trans man),60,1
E01022215,Male (including trans man),64,1
E01022215,Male (including trans man),65,2
E01022215,Male (including trans man),71,1
E01022215,Male (including trans man),73,1
E01022215,Male (including trans man),75,1
E01022215,Male (including trans man),76,1
E01022215,Male (including trans man),77,2
E01022215,Male (including trans man),78,1
E01022215,Male (including trans man),81,2
E01022215,Male (including trans man),84,1
E01022215,Male (including trans man),86,1
E01022215,Male (including trans man),88,1
E01022215,Male (including trans man),89,2
E01022215,Female (including trans woman),13,2
E01022215,Female (including trans woman),16,2
E01022215,Female (including trans woman),20,1
E01022215,Female (including trans woman),22,1
E01022215,Female (including trans woman),23,1
E01022215,Female (including trans woman),35,1
E01022215,Female (including trans woman),36,1
E01022215,Female (including trans woman),39,1
E01022215,Female (including trans woman),42,2
E01022215,Female (including trans woman),45,1
E01022215,Female (including trans woman),47,3
E01022215,Female (including trans woman),51,1
E01022215,Female (including trans woman),52,1
E01022215,Female (including trans woman),60,2
E01022215,Female (including trans woman),64,1
E01022215,Female (including trans woman),65,1
E01022215,Female (including trans woman),67,1
E01022215,Female (including trans woman),70,2
E01022215,Female (including trans woman),74,1
E01022215,Female (including trans woman),75,3
E01022215,Female (including trans woman),77,1
E01022215,Female (including trans woman),78,1
E01022215,Female (including trans woman),81,2
E01022215,Female (including trans woman),85,1
E01022215,Female (including trans woman),88,2
E01022215,Female (including trans woman),89,1
E01022215,Non-binary,13,1
E01022215,Non-binary,40,1
E01022215,Non-binary,59,1
E01022215,Non-binary,64,1
E01027288,Male (including trans man),13,4
E01027288,Male (including trans man),14,1
E01027288,Male (including trans man),15,1
E01027288,Male (including trans man),16,1
E01027288,Male (including trans man),17,1
E01027288,Male (including trans man),18,1
E01027288,Male (including trans man),19,4
E01027288,Male (including trans man),20,1
E01027288,Male (including trans man),21,4
E01027288,Male (including trans man),22,2
E01027288,Male (including trans man),24,1
E01027288,Male (including trans man),25,1
E01027288,Male (including trans man),26,3
E01027288,Male (including trans man),27,3
E01027288,Male (including trans man),28,3
E01027288,Male (including trans man),31,2
E01027288,Male (including trans man),32,1
E01027288,Male (including trans man),33,4
E01027288,Male (including trans man),34,5
E01027288,Male (including trans man),35,2
E01027288,Male (including trans man),36,2
E01027288,Male (including trans man),37,1
E01027288,Male (including trans man),38,1
E01027288,Male (including trans man),40,2
E01027288,Male (including trans man),41,2
E01027288,Male (including trans man),43,1
E01027288,Male (including trans man),45,5
E01027288,Male (including trans man),47,2
E01027288,Male (including trans man),48,1
E01027288,Male (including trans man),49,1
E01027288,Male (including trans man),50,2
E01027288,Male (including trans man),51,2
E01027288,Male (including trans man),52,1
E01027288,Male (including trans man),53,1
E01027288,Male (including trans man),54,1
E01027288,Male (including trans man),55,1
E01027288,Male (including trans man),57,1
E01027288,Male (including trans man),58,1
E01027288,Male (including trans man),59,2
E01027288,Male (including trans man),60,2
E01027288,Male (including trans man),63,1
E01027288,Male (including trans man),65,3
E01027288,Male (including trans man),66,3
E01027288,Male (including trans man),67,3
E01027288,Male (including trans man),68,3
E01027288,Male (including trans man),69,1
E01027288,Male (including trans man),70,2
E01027288,Male (including trans man),74,1
E01027288,Male (including trans man),75,3
E01027288,Male (including trans man),76,2
E01027288,Male (including trans man),78,1
E01027288,Male (including trans man),79,1
E01027288,Male (including trans man),80,1
E01027288,Male (including trans man),81,3
E01027288,Male (including trans man),82,1
E01027288,Male (including trans man),83,2
E01027288,Male (including trans man),84,2
E01027288,Male (including trans man),85,3
E01027288,Male (including trans man),86,2
E01027288,Male (including trans man),87,4
E01027288,Male (including trans man),88,1
E01027288,Male (including trans man),89,1
E01027288,Female (including trans woman),14,1
E01027288,Female (including trans woman),17,2
E01027288,Female (including trans woman),18,1
E01027288,Female (including trans woman),22,1
E01027288,Female (including trans woman),24,2
E01027288,Female (including trans woman),25,1
E01027288,Female (including trans woman),27,2
E01027288,Female (including trans woman),28,3
E01027288,Female (including trans woman),29,1
E01027288,Female (including trans woman),32,1
E01027288,Female (including trans woman),33,2
E01027288,Female (including trans woman),36,2
E01027288,Female (including trans woman),37,1
E01027288,Female (including trans woman),40,1
E01027288,Female (including trans woman),42,1
E01027288,Female (including trans woman),43,2
E01027288,Female (including trans woman),44,1
E01027288,Female (including trans woman),46,4
E01027288,Female (including trans woman),47,1
E01027288,Female (including trans woman),49,1
E01027288,Female (including trans woman),51,2
E01027288,Female (including trans woman),52,1
E01027288,Female (including trans woman),53,3
E01027288,Female (including trans woman),55,1
E01027288,Female (including trans woman),58,1
E01027288,Female (including trans woman),59,1
E01027288,Female (including trans woman),60,2
E01027288,Female (including trans woman),61,1
E01027288,Female (including trans woman),63,1
E01027288,Female (including trans woman),64,5
E01027288,Female (including trans woman),65,2
E01027288,Female (including trans woman),66,2
E01027288,Female (including trans woman),67,1
E01027288,Female (including trans woman),69,1
E01027288,Female (including trans woman),70,2
E01027288,Female (including trans woman),75,1
E01027288,Female (including trans woman),76,1
E01027288,Female (including trans woman),77,1
E01027288,Female (including trans woman),79,1
E01027288,Female (including trans woman),80,2
E01027288,Female (including trans woman),81,1
E01027288,Female (including trans woman),84,1
E01027288,Female (including trans woman),86,1
E01027288,Female (including trans woman),87,1
E01027288,Female (including trans woman),88,1
E01027288,Female (including trans woman),89,3
E01027288,Non-binary,12,1
E01027288,Non-binary,21,1
E01027288,Non-binary,30,1
E01027288,Non-binary,46,1
E01027288,Non-binary,55,1
E01027288,Non-binary,83,1
E01027288,Other (not listed),18,1
E01027288,Other (not listed),39,1
E01027288,Other (not listed),52,1
E01027288,Other (not listed),84,1
E01027288,Not known or not stated,26,1
E01027288,Not known or not stated,78,1
E01027290,Male (including trans man),13,2
E01027290,Male (including trans man),14,1
E01027290,Male (including trans man),20,2
E01027290,Male (including trans man),21,1
E01027290,Male (including trans man),22,1
E01027290,Male (including trans man),23,1
E01027290,Male (including trans man),25,1
E01027290,Male (including trans man),26,1
E01027290,Male (including trans man),32,1
E01027290,Male (including trans man),33,1
E01027290,Male (including trans man),35,1
E01027290,Male (including trans man),36,1
E01027290,Male (including trans man),40,1
E01027290,Male (including trans man),42,1
E01027290,Male (including trans man),43,1
E01027290,Male (including trans man),44,2
E01027290,Male (including trans man),46,1
E01027290,Male (including trans man),48,2
E01027290,Male (including trans man),49,1
E01027290,Male (including trans man),50,1
E01027290,Male (including trans man),51,2
E01027290,Male (including trans man),52,1
E01027290,Male (including trans man),53,1
E01027290,Male (including trans man),54,2
E01027290,Male (including trans man),57,2
E01027290,Male (including trans man),58,1
E01027290,Male (including trans man),60,2
E01027290,Male (including trans man),61,1
E01027290,Male (including trans man),63,1
E01027290,Male (including trans man),65,2
E01027290,Male (including trans man),67,1
E01027290,Male (including trans man),68,2
E01027290,Male (including trans man),69,1
E01027290,Male (including trans man),71,2
E01027290,Male (including trans man),73,1
E01027290,Male (including trans man),76,1
E01027290,Male (including trans man),80,1
E01027290,Male (including trans man),81,2
E01027290,Male (including trans man),83,1
E01027290,Female (including trans woman),13,1
E01027290,Female (including trans woman),19,1
E01027290,Female (including trans woman),23,1
E01027290,Female (including trans woman),24,2
E01027290,Female (including trans woman),27,1
E01027290,Female (including trans woman),31,3
E01027290,Female (including trans woman),36,1
E01027290,Female (including trans woman),39,1
E01027290,Female (including trans woman),40,1
E01027290,Female (including trans woman),41,2
E01027290,Female (including trans woman),42,1
E01027290,Female (including trans woman),45,1
E01027290,Female (including trans woman),47,1
E01027290,Female (including trans woman),48,1
E01027290,Female (including trans woman),52,2
E01027290,Female (including trans woman),58,1
E01027290,Female (including trans woman),59,1
E01027290,Female (including trans woman),67,1
E01027290,Female (including trans woman),73,1
E01027290,Female (including trans woman),74,1
E01027290,Female (including trans woman),76,1
E01027290,Female (including trans woman),78,1
E01027290,Female (including trans woman),80,2
E01027290,Female (including trans woman),82,1
E01027290,Other (not listed),58,1
E01027291,Male (including trans man),13,1
E01027291,Male (including trans man),14,1
E01027291,Male (including trans man),16,2
E01027291,Male (including trans man),17,1
E01027291,Male (including trans man),18,1
E01027291,Male (including trans man),19,3
E01027291,Male (including trans man),23,1
E01027291,Male (including trans man),26,3
E01027291,Male (including trans man),28,1
E01027291,Male (including trans man),29,1
E01027291,Male (including trans man),30,3
E01027291,Male (including trans man),31,3
E01027291,Male (including trans man),33,1
E01027291,Male (including trans man),34,2
E01027291,Male (including trans man),36,3
E01027291,Male (including trans man),37,1
E01027291,Male (including trans man),38,1
E01027291,Male (including trans man),39,2
E01027291,Male (including trans man),41,3
E01027291,Male (including trans man),44,1
E01027291,Male (including trans man),45,2
E01027291,Male (including trans man),46,1
E01027291,Male (including trans man),49,1
E01027291,Male (including trans man),51,1
E01027291,Male (including trans man),53,1
E01027291,Male (including trans man),54,3
E01027291,Male (including trans man),59,5
E01027291,Male (including trans man),60,1
E01027291,Male (including trans man),62,4
E01027291,Male (including trans man),63,2
E01027291,Male (including trans man),65,2
E01027291,Male (including trans man),66,1
E01027291,Male (including trans man),67,2
E01027291,Male (including trans man),69,1
E01027291,Male (including trans man),71,1
E01027291,Male (including trans man),72,1
E01027291,Male (including trans man),73,2
E01027291,Male (including trans man),74,1
E01027291,Male (including trans man),75,1
E01027291,Male (including trans man),76,3
E01027291,Male (including trans man),78,2
E01027291,Male (including trans man),79,1
E01027291,Male (including trans man),82,1
E01027291,Male (including trans man),83,1
E01027291,Male (including trans man),84,3
E01027291,Male (including trans man),85,1
E01027291,Male (including trans man),86,3
E01027291,Male (including trans man),87,1
E01027291,Male (including trans man),88,1
E01027291,Male (including trans man),89,1
E01027291,Female (including trans woman),13,1
E01027291,Female (including trans woman),14,1
E01027291,Female (including trans woman),15,2
E01027291,Female (including trans woman),16,1
E01027291,Female (including trans woman),17,1
E01027291,Female (including trans woman),18,1
E01027291,Female (including trans woman),22,1
E01027291,Female (including trans woman),23,1
E01027291,Female (including trans woman),25,2
E01027291,Female (including trans woman),26,1
E01027291,Female (including trans woman),27,1
E01027291,Female (including trans woman),29,1
E01027291,Female (including trans woman),31,1
E01027291,Female (including trans woman),32,1
E01027291,Female (including trans woman),33,2
E01027291,Female (including trans woman),36,1
E01027291,Female (including trans woman),37,1
E01027291,Female (including trans woman),38,1
E01027291,Female (including trans woman),39,1
E01027291,Female (including trans woman),41,1
E01027291,Female (including trans woman),44,3
E01027291,Female (including trans woman),47,2
E01027291,Female (including trans woman),52,1
E01027291,Female (including trans woman),53,2
E01027291,Female (including trans woman),54,2
E01027291,Female (including trans woman),56,1
E01027291,Female (including trans woman),57,1
E01027291,Female (including trans woman),58,1
E01027291,Female (including trans woman),64,5
E01027291,Female (including trans woman),66,1
E01027291,Female (including trans woman),69,1
E01027291,Female (including trans woman),72,1
E01027291,Female (including trans woman),74,1
E01027291,Female (including trans woman),76,1
E01027291,Female (including trans woman),79,1
E01027291,Female (including trans woman),80,1
E01027291,Female (including trans woman),83,2
E01027291,Female (including trans woman),84,1
E01027291,Female (including trans woman),88,1
E01027291,Non-binary,17,1
E01027291,Non-binary,34,1
E01027291,Non-binary,60,1
E01027291,Other (not listed),40,1
E01027292,Male (including trans man),13,1
E01027292,Male (including trans man),18,1
E01027292,Male (including trans man),27,1
E01027292,Male (including trans man),36,2
E01027292,Male (including trans man),47,1
E01027292,Male (including trans man),50,2
E01027292,Male (including trans man),52,1
E01027292,Male (including trans man),53,1
E01027292,Male (including trans man),58,1
E01027292,Male (including trans man),60,2
E01027292,Male (including trans man),61,1
E01027292,Male (including trans man),64,1
E01027292,Male (including trans man),65,2
E01027292,Male (including trans man),69,1
E01027292,Male (including trans man),72,1
E01027292,Male (including trans man),73,1
E01027292,Male (including trans man),75,2
E01027292,Male (including trans man),77,1
E01027292,Male (including trans man),78,1
E01027292,Male (including trans man),82,2
E01027292,Male (including trans man),83,1
E01027292,Female (including trans woman),32,1
E01027292,Female (including trans woman),46,1
E01027292,Female (including trans woman),55,2
E01027292,Female (including trans woman),58,1
E01027292,Female (including trans woman),74,1
E01027292,Female (including trans woman),78,1
E01027292,Female (including trans woman),83,3
E01027292,Female (including trans woman),85,1
E01027292,Female (including trans woman),87,1
E01027292,Female (including trans woman),88,1
E01027292,Non-binary,49,1
E01027292,Non-binary,55,1
E01027293,Male (including trans man),12,4
E01027293,Male (including trans man),13,1
E01027293,Male (including trans man),16,1
E01027293,Male (including trans man),21,1
E01027293,Male (including trans man),23,1
E01027293,Male (including trans man),24,1
E01027293,Male (including trans man),25,2
E01027293,Male (including trans man),26,1
E01027293,Male (including trans man),27,2
E01027293,Male (including trans man),29,1
E01027293,Male (including trans man),34,1
E01027293,Male (including trans man),39,1
E01027293,Male (including trans man),43,1
E01027293,Male (including trans man),44,1
E01027293,Male (including trans man),45,1
E01027293,Male (including trans man),47,1
E01027293,Male (including trans man),48,1
E01027293,Male (including trans man),49,1
E01027293,Male (including trans man),51,2
E01027293,Male (including trans man),52,1
E01027293,Male (including trans man),53,1
E01027293,Male (including trans man),56,2
E01027293,Male (including trans man),57,1
E01027293,Male (including trans man),59,1
E01027293,Male (including trans man),63,1
E01027293,Male (including trans man),64,1
E01027293,Male (including trans man),65,3
E01027293,Male (including trans man),67,1
E01027293,Male (including trans man),69,1
E01027293,Male (including trans man),70,1
E01027293,Male (including trans man),72,1
E01027293,Male (including trans man),74,1
E01027293,Male (including trans man),75,1
E01027293,Male (including trans man),79,1
E01027293,Male (including trans man),80,2
E01027293,Male (including trans man),81,1
E01027293,Male (including trans man),82,1
E01027293,Male (including trans man),83,2
E01027293,Male (including trans man),84,1
E01027293,Female (including trans woman),12,1
E01027293,Female (including trans woman),22,1
E01027293,Female (including trans woman),26,1
E01027293,Female (including trans woman),32,1
E01027293,Female (including trans woman),33,1
E01027293,Female (including trans woman),34,2
E01027293,Female (including trans woman),35,1
E01027293,Female (including trans woman),36,1
E01027293,Female (including trans woman),38,1
E01027293,Female (including trans woman),40,2
E01027293,Female (including trans woman),41,2
E01027293,Female (including trans woman),55,1
E01027293,Female (including trans woman),56,1
E01027293,Female (including trans woman),57,1
E01027293,Female (including trans woman),58,1
E01027293,Female (including trans woman),59,1
E01027293,Female (including trans woman),67,1
E01027293,Female (including trans woman),69,1
E01027293,Female (including trans woman),75,1
E01027293,Female (including trans woman),78,1
E01027293,Female (including trans woman),85,1
E01027293,Non-binary,29,1
E01027293,Non-binary,55,1
E01027293,Non-binary,88,1
E01027293,Other (not listed),35,1
E01027296,Male (including trans man),13,1
E01027296,Male (including trans man),15,1
E01027296,Male (including trans man),20,1
E01027296,Male (including trans man),25,1
E01027296,Male (including trans man),26,1
E01027296,Male (including trans man),29,2
E01027296,Male (including trans man),30,1
E01027296,Male (including trans man),33,1
E01027296,Male (including trans man),38,1
E01027296,Male (including trans man),39,1
E01027296,Male (including trans man),41,1
E01027296,Male (including trans man),47,3
E01027296,Male (including trans man),48,1
E01027296,Male (including trans man),49,1
E01027296,Male (including trans man),50,2
E01027296,Male (including trans man),52,1
E01027296,Male (including trans man),53,2
E01027296,Male (including trans man),56,1
E01027296,Male (including trans man),58,1
E01027296,Male (including trans man),60,1
E01027296,Male (including trans man),61,1
E01027296,Male (including trans man),62,2
E01027296,Male (including trans man),63,1
E01027296,Male (including trans man),64,1
E01027296,Male (including trans man),65,1
E01027296,Male (including trans man),66,2
E01027296,Male (including trans man),67,1
E01027296,Male (including trans man),68,1
E01027296,Male (including trans man),71,1
E01027296,Male (including trans man),73,1
E01027296,Male (including trans man),74,2
E01027296,Male (including trans man),77,1
