YEAR_MONTH,COMMISSIONER_CODE,COMMISSIONER_NAME,CONTRACT_NUMBER,PROVIDER_NAME,LATEST_PPC_ADDRESS_POSTCODE,LSOA11_CODE,UDA_PERF_TARGET,UDA_FIN_VAL,UDA_DELIVERED,LATE_SUBMITTED_FP17,UDA_DELIVERED_FD,BAND_1_DELIVERED,"BAND_2A_DELIVERED ",BAND_2B_DELIVERED,BAND_2C_DELIVERED,BAND_3_DELIVERED,BAND_URGENT_DELIVERED,BAND_OTHER_DELIVERED,CHILD_12M_COUNT,ADULT_24M_COUNT,GENERAL_DENTAL_FIN_VALUE
202312,QM7,Hertfordshire and West Essex ICB,1000520000,Chigwell Dental Practice,IG7 5PZ,E01021765,9244,356906.3,659.4,1,0,136,48,30,0,17,22,0,632,2386,356906.3
202312,QNX,Sussex ICB,1000610000,MISS AR PATEL,BN21 4LL,E01020935,1800,57570.93,98.4,0,0,76,5,1,0,0,2,0,493,38,57570.93
202312,QT1,Nottingham and Nottinghamshire ICB,1000620000,McDaid & McDaid,NG9 5BA,E01028096,15050,485021.86,727,1,0,342,74,10,1,6,30,1,1440,2947,485021.86
202312,QSL,Somerset ICB,1000710000,Yarde House Partnership,TA1 1DB,E01029289,2600,77885.99,151.2,0,0,97,6,1,0,2,6,0,431,428,77885.99
202312,QT6,Cornwall and the Isles Of Scilly ICB,1000730000,Spadental South West Limited,PL12 6AF,E01018793,19116,605705.89,529,0,0,372,39,8,0,0,0,0,2286,299,605705.89
202312,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000790000,Rodericks Dental Ltd,MK40 1NN,E01017469,25000,771932.17,1114.4,0,0,210,65,42,5,10,277,2,1443,6340,771932.17
202312,QUY,"Bristol, North Somerset and South Gloucestershire ICB",1000800000,Monika Molnar,BS25 1JF,E01014742,1200,33463.61,128.2,0,0,36,23,2,0,1,1,0,411,76,33463.61
202312,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000810000,Rodericks Dental Ltd,LU1 2AL,E01015794,25000,754788.05,316.4,0,0,15,27,16,0,3,87,0,531,2474,754788.05
202312,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000820000,Rodericks Dental Ltd,LU3 2NJ,E01015785,14000,430287.52,765.4,0,0,112,103,21,0,16,37,0,1208,2408,430287.52
202312,QT6,Cornwall and the Isles Of Scilly ICB,1000830000,PCH Dental CIC,TR18 3PE,E01018997,10946,364170.55,88.8,0,0,29,5,2,0,2,9,0,291,1010,364170.55
202312,QHL,Birmingham and Solihull ICB,1000850000,Broadway Dental Suite,B18 7BA,E01009141,11239,427441.76,729.8,1,0,38,58,30,2,23,69,0,640,2505,427441.76
202312,QRL,Hampshire and Isle Of Wight ICB,1000890000,Hilsea Dental Care Ltd,PO2 9HE,E01017087,17002,460234.2,848,0,0,138,84,46,0,17,20,0,689,2153,460234.2
202312,QYG,Cheshire and Merseyside ICB,1000960000,Care (Lancashire) Ltd,L20 3EF,E01007009,24000,757669.65,1414.6,0,0,143,60,46,54,36,43,0,375,1517,757669.65
202312,QT1,Nottingham and Nottinghamshire ICB,1001010000,Brookview Dental Care,LE12 6JG,E01028387,1000,35576.75,93.4,0,0,33,8,2,0,2,2,0,217,176,35576.75
202312,QT1,Nottingham and Nottinghamshire ICB,1001030000,"Dr H S Thiara, Mrs R K Mattu",NG5 7ED,E01028209,7997,331313.43,562.4,0,0,130,39,23,1,13,27,5,457,2117,331313.43
202312,QOQ,Humber and North Yorkshire ICB,1001050000,Dental Logic Limited,HU10 7AA,E01013117,8624,252479.77,544.4,0,0,241,59,3,0,7,22,1,773,2872,252479.77
202312,QT1,Nottingham and Nottinghamshire ICB,1001090000,Whitecross Dental Care Limited,LE12 6PG,E01028389,20000,606092.23,1432.4,0,0,618,107,20,4,24,62,3,2095,4785,606092.23
202312,QWO,West Yorkshire ICB,1001110000,Bodental Practice,BD23 1RU,E01027581,670,20085.37,,,,,,,,,,,338,43,20085.37
202312,QYG,Cheshire and Merseyside ICB,1001220000,The Old Surgery Dental Practice Ltd,CW1 5EQ,E01018501,3300,213033.74,103,0,0,7,32,0,0,0,0,0,4,329,213033.74
202312,QMM,Norfolk and Waveney ICB,1001280000,Rookwood Dental Practice,NR17 2BN,E01026449,3939,122495.55,298.4,0,0,138,34,4,0,2,12,0,495,979,122495.55
202312,QOP,Greater Manchester ICB,1001340000,REVIVE DENTAL CARE LIMITED,M4 6EE,E01033663,5509,390618.54,240.6,0,0,38,26,13,2,3,8,0,172,949,390618.54
202312,QOQ,Humber and North Yorkshire ICB,1001350000,MR N TIBREWAL,HG4 1QW,E01027707,16464,560614.44,1039.6,0,0,257,84,44,1,18,73,0,1040,4126,560614.44
202312,QNQ,Frimley ICB,1001360000,MR JS KAILA,GU15 2HT,E01030800,11191,350224.02,783.6,0,160.6,195,51,16,3,24,28,2,364,2506,350224.02
202312,QWU,Coventry and Warwickshire ICB,1001380000,Longfellow Road Partnership,CV2 5HB,E01009614,49397,1436209.77,3545.6,3,0,1020,264,107,3,63,353,3,3967,13720,1436209.77
202312,QJ2,Derby and Derbyshire ICB,1001500000,Brimington Dental Practice,S43 1AD,E01019534,21209,698473.61,1510.2,0,0,538,189,41,0,15,16,1,1376,5328,698473.61
202312,QUA,Black Country ICB,1001620000,Jandu Dental Surgery,DY8 1EJ,E01009856,7200,187383.68,77.4,0,0,13,5,1,0,3,7,0,86,403,187383.68
202312,QUA,Black Country ICB,1001640000,Princes End Dental Practice,DY4 0UB,E01010033,4890,144494.13,234.4,0,0,27,14,18,0,6,2,1,805,687,144494.13
202312,QHL,Birmingham and Solihull ICB,1001650000,Family Dental Centre Partnership,B44 8LD,E01009230,17884,609756.48,1290,0,0,391,130,24,3,23,75,2,1740,4584,609756.48
202312,QNX,Sussex ICB,1001670000,ABC Dental Surgery Ltd,BN2 3LD,E01016890,13371,411744.55,904.2,2,0,170,112,49,0,8,41,1,749,1813,411744.55
202312,QHM,North East and North Cumbria ICB,1001720000,No.1 Victoria Terrace Ltd,NE15 9EL,E01008405,5140,137519.99,289,0,0,50,32,9,0,7,0,3,357,841,137519.99
202312,QHL,Birmingham and Solihull ICB,1001730000,Hilltop Dental Spa,B31 2QT,E01009206,23164,767604.09,1750,0,124,434,134,37,4,48,90,6,1760,6149,767604.09
202312,QMF,North East London ICB,1001750000,Nilesh Patel,E20 1BX,E01033583,18000,550440,882.2,0,0,141,45,14,1,12,321,0,1604,3624,550440
202312,QUA,Black Country ICB,1001760000,Mr S Merali,B64 7HU,E01009956,1700,47845.39,136.6,0,0,31,17,3,0,3,3,0,255,137,47845.39
202312,QJ2,Derby and Derbyshire ICB,1001800000,Chaddesden Dental Practice,DE21 6PE,E01013507,21628,671523.08,966.8,0,0,327,115,21,1,10,49,4,1035,4132,671523.08
202312,QJ2,Derby and Derbyshire ICB,1001910000,Nationwide Healthcare - Normanton Road Family Dental Centre,DE23 6WD,E01013484,1,1.23,,,,,,,,,,,,9,1.23
202312,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1001940000,Chalfont St Peter Partnership,SL9 9AL,E01017755,1600,49770.1,82.4,0,0,51,2,1,0,1,7,0,481,206,49770.1
202312,QJ2,Derby and Derbyshire ICB,1001950000,TASK B LTD - T/A Dental Perfection,DE23 3TX,E01013541,10900,293044.62,641.6,1,0,213,36,14,0,20,13,0,960,2602,293044.62
202312,QT1,Nottingham and Nottinghamshire ICB,1001960000,Impressions Dental Care (Nottingham) Limited,NG16 2NH,E01028102,1354,39416.43,117,0,0,29,9,1,2,3,5,0,198,276,39416.43
202312,QT1,Nottingham and Nottinghamshire ICB,1002050000,Family Medical Centre (Green//Hanji),NG3 2FW,E01013954,26057,850290.02,780,0,0,207,85,13,0,14,70,1,1535,5870,850290.02
202312,QE1,Lancashire and South Cumbria ICB,1002060000,Genix Healthcare Ltd,LA4 6ND,E01025164,19500,568250.31,1331.6,1,121.6,394,114,63,4,16,48,3,2709,3636,568250.31
202312,QMF,North East London ICB,1002070000,Preventdent Limited,E3 5ED,E01004226,20367,853219.83,1433.6,0,0,422,135,32,5,28,63,0,3174,3754,853219.83
202312,QT1,Nottingham and Nottinghamshire ICB,1002110000,Rivergreen Dental Practice,NG11 8AD,E01013897,14929,467831.63,1115.4,0,0,170,164,27,0,19,62,5,902,3069,467831.63
202312,QJM,Lincolnshire ICB,1002190000,Community Dental Services CIC,PE21 8RU,E01026093,4500,2158948,426,0,0,155,26,14,0,7,10,2,419,1329,2158948
202312,QE1,Lancashire and South Cumbria ICB,1002200000,Genix Healthcare Ltd,LA4 6ND,E01025164,9780,284999.38,68.8,0,0,3,7,3,0,2,4,1,36,144,284999.38
202312,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1002320000,"Sunita Naidoo, Rahendra Naidoo, Raahil Naidoo and Saroshen N",MK40 3HU,E01017469,7404,230868.16,521,0,79.4,204,48,8,1,9,15,0,919,2452,230868.16
202312,QOC,"Shropshire, Telford and Wrekin ICB",1002330000,Willow Street Dental Practice,SY11 1AD,E01028906,2110,66202.86,108.6,0,0,81,4,1,1,0,3,0,651,228,66202.86
202312,QJ2,Derby and Derbyshire ICB,1002360000,AJ Moore & Associates,NG10 4ER,E01019652,56788,1758705.81,1910,0,0,553,231,41,2,29,80,1,1946,11273,1758705.81
202312,QJ2,Derby and Derbyshire ICB,1002380000,Heanor Dental Practice,DE75 7DT,E01019436,25773,935933.58,1477.2,0,0,559,125,41,0,21,66,7,1710,6430,935933.58
202312,QUA,Black Country ICB,1002670000,Dudley Road Dental Practice,WV2 3DN,E01010428,33459,1078007.32,2589.6,0,0,491,216,117,7,54,138,4,2979,5039,1078007.32
202312,QT1,Nottingham and Nottinghamshire ICB,1002710000,"Peterson, Carr & Towlerton",NG25 0DN,E01028346,3100,85946.14,108,0,0,64,5,1,0,1,10,0,583,275,85946.14
202312,QJ2,Derby and Derbyshire ICB,1003050000,New Whittington Dental Practice,S43 2AH,E01019529,11213,435972.87,673.6,0,0,145,82,15,0,13,43,0,600,2575,435972.87
202312,QNQ,Frimley ICB,1003130000,OPTIMA CARE (MAIDENHEAD) Ltd,SL6 4DT,E01016537,7000,215686.85,616.4,0,206,147,41,29,1,12,32,1,984,2171,215686.85
202312,QT1,Nottingham and Nottinghamshire ICB,1003150000,Tuckley and Seton,NG9 2BD,E01028075,2346,73641.2,197.2,0,0,93,21,2,0,2,6,0,1062,104,73641.2
202312,QT1,Nottingham and Nottinghamshire ICB,1003160000,Dr Mandeep Hampson,NG3 6LH,E01028163,17825,478735.67,941.4,0,0,244,105,22,4,15,52,8,1029,4465,478735.67
202312,QJ2,Derby and Derbyshire ICB,1003190000,Nationwide Healthcare Providers Ltd,DE55 4LP,E01019468,1,1.23,,,,,,,,,,,3,26,1.23
202312,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1003220000,Mr F Tahir,RG40 3RB,E01016640,13000,367485.97,1042.2,0,0,523,51,13,0,19,61,0,1728,2614,367485.97
202312,QNQ,Frimley ICB,1003230000,Mr F Tahir,SL3 9EN,E01016564,12351,339924.83,841.2,0,0,293,105,15,1,7,56,0,1241,2454,339924.83
202312,QNC,Staffordshire and Stoke-on-Trent ICB,1003240000,Hughes & Owen Dental Care,DE14 3QZ,E01032898,1250,31660.55,105.4,0,0,61,9,3,0,0,2,0,549,58,31660.55
202312,QKS,Kent And Medway ICB,1003250000,Mr Waguih Maher Bishay,ME1 1HB,E01016110,3566,260961.38,215,0,0,0,40,19,0,0,0,0,40,463,1
202312,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1003330000,Dentalcare Limited,RG8 7LU,E01016314,14000,398322.86,770.4,0,0,203,49,51,1,10,32,0,537,2632,398322.86
202312,QJ2,Derby and Derbyshire ICB,1003340000,Chapel Dental Care,SK23 0EZ,E01019720,17496,954010.97,1533.2,1,0,430,170,43,0,26,56,2,1413,4485,954010.97
202312,QJ2,Derby and Derbyshire ICB,1003350000,Chapel Dental Care,SK23 0EZ,E01019720,0,1.23,,,,,,,,,,,,10,1.23
202312,QPM,Northamptonshire ICB,1003450000,Oradi Ltd.,NN8 4PW,E01027349,52783,1578319.27,1242.6,0,0,409,138,20,2,22,33,2,1734,5938,1578319.27
202312,QNC,Staffordshire and Stoke-on-Trent ICB,1003460000,Burton Family Dental Practice,DE13 0NU,E01029434,2675,70179.25,110.4,0,0,74,8,2,0,0,2,0,1246,122,70179.25
202312,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1003470000,PURESMILE EARLEY LTD,RG6 7HT,E01016668,14000,393527.9,676,0,0,97,65,48,0,9,30,0,1046,2501,393527.9
202312,QH8,Mid and South Essex ICB,1003480000,"E Harunani, M Kanani & M N Harunani",CO5 9JT,E01021402,15247,449155.05,1205.4,1,0,235,43,69,3,33,67,0,1215,3284,399655.05
202312,QH8,Mid and South Essex ICB,1003490000,"E Harunani, M Kanani & M N Harunani",CM9 5BS,E01021890,17247,458527.85,1063.4,0,0,165,31,19,0,48,102,1,810,3097,458527.85
202312,QK1,"Leicester, Leicestershire and Rutland ICB",1003510000,JDRM Dental Care Ltd,LE67 3WD,E01025930,15509,436323.99,1374,0,0,416,150,35,1,23,40,2,1108,3762,436323.99
202312,QJM,Lincolnshire ICB,1003520000,OASIS DENTAL CARE LTD,NG34 7TW,E01026232,47000,1444733.75,,,,,,,,,,,400,2885,1444733.75
202312,QJM,Lincolnshire ICB,1003530000,Ishak Practices Limited,LN11 9ET,E01026089,20700,658326.25,1391.6,0,0,557,150,34,3,24,70,1,1407,4735,658326.25
202312,QJM,Lincolnshire ICB,1003540000,Ishak Practices Limited,LN6 8RZ,E01026141,25500,812853.09,1470.8,1,0,540,124,35,6,23,59,0,2120,4962,812853.09
202312,QJM,Lincolnshire ICB,1003550000,Ishak Practices Limited,DN21 2HD,E01026379,27308,868481.78,1692,0,0,458,202,34,2,28,90,0,1531,6080,868481.78
202312,QK1,"Leicester, Leicestershire and Rutland ICB",1003560000,Ishak Practices Limited,LE7 2HA,E01025756,10000,291733.2,424.2,0,0,198,29,12,0,4,26,0,881,2667,291733.2
202312,QJK,Devon ICB,1003570000,Peninsula Dental School,PL1 4JZ,E01015047,1,1288045.92,45,0,0,6,12,0,0,0,0,0,,169,1207543.05
202312,QRV,North West London ICB,1003580000,Dr Jeet Parekh and Mrs Mala Parekh,W2 3JH,E01004695,6000,197880.18,251,1,0,47,14,5,0,11,5,0,217,1147,197880.18
202312,QKS,Kent And Medway ICB,1003590000,Medway Dental Care Ltd,ME5 0TX,E01016173,6671,201720.71,320.4,3,0,32,20,27,1,6,17,1,681,1692,201720.71
202312,QT1,Nottingham and Nottinghamshire ICB,1003700000,Ishak Practices Limited,NG6 9DQ,E01013891,19000,620064.54,214.8,0,0,46,25,7,0,3,19,0,1058,2095,620064.54
202312,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1003740000,MR AF RAI,HP5 3EZ,E01017781,15000,384206.41,820.8,0,0,220,89,25,0,15,24,0,859,2290,384206.41
202312,QT1,Nottingham and Nottinghamshire ICB,1003760000,Rodericks Dental Ltd,NG8 4PN,E01013868,16500,530246.66,1145.8,0,0,197,172,25,3,17,69,0,1237,2350,530246.66
202312,QT1,Nottingham and Nottinghamshire ICB,1003770000,Rodericks Dental Ltd,NG6 8ET,E01013885,20500,643713.73,1203,0,0,299,126,70,2,10,35,0,1202,2120,643713.73
202312,QT1,Nottingham and Nottinghamshire ICB,1003820000,Carlton Dental Care Limited,NG4 1JB,E01028160,0,279696.12,297,0,0,10,89,4,0,0,0,0,2,820,1.12
202312,QT1,Nottingham and Nottinghamshire ICB,1003830000,MR KS MISSAN,NG2 6HT,E01028374,0,68896.12,56,0,0,1,15,2,0,0,0,0,,268,1.12
202312,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1003940000,Puresmile Marlow,SL7 3AN,E01017891,12000,307952.83,641,0,0,262,58,11,0,8,45,0,1075,2250,307952.83
202312,QWU,Coventry and Warwickshire ICB,1003950000,MR NJ GIBB,CV32 4LY,E01033253,15000,435765.01,1178.4,0,0,457,70,27,4,18,107,4,1476,4912,435765.01
202312,QGH,Herefordshire and Worcestershire ICB,1003970000,MR A PANDEY,DY11 7BQ,E01032470,26200,674607.03,2400.8,0,0,443,191,70,0,69,169,4,1844,6045,674607.03
202312,QGH,Herefordshire and Worcestershire ICB,1003990000,Malvern Spring Dental Practice Ltd,WR14 1AJ,E01032196,5000,128436.01,91.4,1,0,13,7,2,0,4,2,0,461,274,128436.01
202312,QUA,Black Country ICB,1004040000,New Road Dental Practice,WV13 2DA,E01010404,2000,50656.89,358.2,0,0,62,18,11,0,15,6,0,393,232,50656.89
202312,QUA,Black Country ICB,1004050000,Ravinder Kumar t/a OHC Dental Practice,B69 4DX,E01010017,6000,157792.81,613.4,0,0,101,36,31,1,19,12,0,506,1126,157792.81
202312,QGH,Herefordshire and Worcestershire ICB,1004060000,Gentle Dental Care (DROITWICH)LTD,WR9 8EF,E01032359,13850,372695.65,1102,0,0,349,98,39,0,18,40,0,1336,3222,372695.65
202312,QGH,Herefordshire and Worcestershire ICB,1004070000,Gentle Dental Care (EVESHAM)LTD,WR5 2DL,E01032285,17200,454937.53,3,0,0,0,1,0,0,0,0,0,350,1588,454937.53
202312,QGH,Herefordshire and Worcestershire ICB,1004080000,Gentle Dental Care (WORCESTER)LTD,WR5 2DL,E01032285,30000,793495.67,729.6,0,0,114,59,10,1,26,58,0,1844,5041,793495.67
202312,QE1,Lancashire and South Cumbria ICB,1004210000,Dr D Hammond,FY1 3ER,E01012737,0,252576.33,,,,,,,,,,,,,31135.1
202312,QT1,Nottingham and Nottinghamshire ICB,1004280000,JDSP Dental Limited,NG12 5AA,E01028383,0,34306.12,67,0,0,4,21,0,0,0,0,0,,120,1.12
202312,QGH,Herefordshire and Worcestershire ICB,1004300000,MR T MOODLEY,B97 5SF,E01032270,10000,266046,609.2,0,0,204,47,5,2,15,36,2,898,2279,266046
202312,QGH,Herefordshire and Worcestershire ICB,1004310000,OASIS DENTAL CARE LTD,B97 4RH,E01032238,16078,412998.8,705.8,1,0,165,62,24,1,15,40,1,848,2876,412998.8
202312,QWU,Coventry and Warwickshire ICB,1004350000,MR DJ LANGMAN,CV37 6LW,E01031234,5000,149841.99,15,0,0,0,5,0,0,0,0,0,116,935,149841.99
202312,QJ2,Derby and Derbyshire ICB,1004400000,Rodericks Dental Ltd,DE56 1WN,E01019407,0,34546.12,,,,,,,,,,,,133,1.12
202312,QJ2,Derby and Derbyshire ICB,1004440000,Etwall Dental Practice Ltd (IMOS),DE65 6LP,E01019840,0,258726.12,252,0,0,4,76,4,0,0,0,0,2,657,1.12
202312,QF7,South Yorkshire ICB,1004450000,Dental Directions,S5 8BE,E01008123,1,1.23,178.6,1,0,35,18,4,0,6,8,0,353,672,1.23
202312,QJ2,Derby and Derbyshire ICB,1004470000,Stephen Shaffery -The Dove Dental,DE1 2GJ,E01013480,0,73696.12,99,0,0,0,23,6,0,0,0,0,,323,1.12
202312,QT1,Nottingham and Nottinghamshire ICB,1004480000,The Ropewalk Dental,NG1 5DW,E01032522,0,95876.12,105,0,0,0,30,3,0,0,0,0,1,300,1.12
202312,QWU,Coventry and Warwickshire ICB,1004490000,Neha Sadhev,CV37 8TA,E01031212,8000,239747.2,460.6,0,0,153,33,8,0,10,38,3,755,1659,239747.2
202312,QGH,Herefordshire and Worcestershire ICB,1004500000,OASIS DENTAL CARE LTD,HR9 5HB,E01014066,4500,121096.8,,,,,,,,,,,,91,121096.8
202312,QUA,Black Country ICB,1004590000,Richmond House Dental Practice,DY8 4BU,E01009731,8918,310729.23,697.2,0,0,165,35,7,0,30,26,1,692,2222,310729.23
202312,QUA,Black Country ICB,1004630000,MR SB MAHALEKAM,WS3 1BZ,E01010283,2000,50656.89,83.8,0,0,2,3,4,0,3,4,1,189,453,50656.89
202312,QUA,Black Country ICB,1004650000,Dr Sapna Hanji Chandrashekar,WS1 1QJ,E01010371,2000,53282.6,139.4,0,0,27,9,7,0,4,2,0,171,389,53282.6
202312,QK1,"Leicester, Leicestershire and Rutland ICB",1004660000,Bowling Green Dental Care Ltd,LE1 6AS,E01013636,13558,406302.66,1152.2,0,0,300,107,35,1,24,41,1,1216,3736,406302.66
202312,QJ2,Derby and Derbyshire ICB,1004670000,Derby Raynesway Partnership,DE24 0DW,E01013477,631,23342.21,21.4,0,0,16,1,0,0,0,2,0,302,185,23342.21
202312,QNQ,Frimley ICB,1004720000,Rodericks Dental Ltd,SL6 9BR,E01016532,18000,560562.79,789.2,2,0,282,64,20,0,14,41,0,1472,4410,560562.79
202312,QNX,Sussex ICB,1004760000,Jayne Withinshaw Limited,RH20 2BP,E01031662,4950,145756.5,323.6,0,0,125,40,3,0,4,13,0,562,1144,145756.5
202312,QNX,Sussex ICB,1004770000,Knights Dental Surgery Limited,PO21 5HG,E01031406,1140,35823.38,42,0,0,36,2,0,0,0,0,0,234,57,35823.38
202312,QK1,"Leicester, Leicestershire and Rutland ICB",1004780000,Rodericks Dental Ltd,LE4 1ET,E01013619,13122,414429.91,1047.8,0,75.8,322,98,38,3,11,74,0,1545,3501,414429.91
202312,QRV,North West London ICB,1004850000,Harrow Road Dental Practice,W9 3RA,E01004755,3000,96825.12,89.8,0,0,27,8,2,0,2,4,0,278,361,96825.12
202312,QOC,"Shropshire, Telford and Wrekin ICB",1004860000,New Park House Dental Centre,SY3 7FA,E01028984,3750,125047.99,208.6,0,0,134,15,4,0,0,8,0,975,378,125047.99
202312,QRV,North West London ICB,1004880000,Sharareh Naghibi and Barry Lanesman,W2 3PH,E01004694,6000,187782.05,558.2,0,0,41,36,12,0,29,1,0,24,1191,187782.05
202312,QWO,West Yorkshire ICB,1004900000,Mr Imtiaz Khajwal,HD8 9HR,E01011110,6899,238992.06,778.8,0,0,343,52,20,1,11,34,0,393,1687,238992.06
202312,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1005060000,Rodericks Dental Ltd,HP12 4JN,E01017912,13759,437073.81,673.2,0,0,214,72,29,1,3,46,0,1500,3185,437073.81
202312,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1005080000,Aspire Dental Care Limited,HP7 9PH,E01017775,12000,368774.12,774.8,0,0,242,62,13,0,17,64,1,1135,3090,368774.12
202312,QYG,Cheshire and Merseyside ICB,1005210000,Wirral Community Trust,CH46 2QQ,E01007204,5355,197437.01,174.2,0,0,25,13,5,0,7,1,0,307,714,197437.01
202312,QOP,Greater Manchester ICB,1005540000,Shaw Family Dental Practice Partnership,OL2 8NH,E01005447,29628,1127948.97,2859,0,0,642,188,146,3,59,160,2,2271,6352,1086605.66
202312,QT1,Nottingham and Nottinghamshire ICB,1005550000,Southwell Dental Care,NG25 0BH,E01028346,1,1.21,,,,,,,,,,,,,1.21
202312,QWE,South West London ICB,1005720000,The Royal Hospital for Neuro-disability Dental Practice,SW15 3SW,E01004628,1,196894.61,,,,,,,,,,,,,196894.61
202312,QNC,Staffordshire and Stoke-on-Trent ICB,1005740000,Primecare Oral Heatlh Services Ltd,ST4 1AT,E01014293,24816,761427.27,1362.6,2,0,254,116,55,1,31,94,0,1534,5750,761427.27
202312,QOQ,Humber and North Yorkshire ICB,1005940000,The Dental Design Studio,DN16 2AA,E01013316,13000,397380.99,1344,0,0,701,105,32,0,7,70,0,1453,2526,397380.99
202312,QNQ,Frimley ICB,1005960000,Dr Paul Nicholas Mamak,GU16 6LE,E01030770,2904,88426.42,159.6,1,0,85,18,1,0,1,4,0,492,493,88426.42
202312,QUA,Black Country ICB,1006000000,New Light DA Limited,WS8 6EQ,E01010306,2000,53820.81,132.8,0,0,9,22,2,1,3,4,0,103,345,53820.81
202312,QRV,North West London ICB,1006030000,Ramesh Siva,SW1V 3HD,E01004668,7000,212097.03,465,0,0,76,67,12,1,5,50,1,620,1804,212097.03
202312,QOP,Greater Manchester ICB,1006060000,REVIVE DENTAL CARE LIMITED,M3 6BZ,E01032906,5495,172805.73,205.8,0,0,82,9,10,0,3,9,0,584,878,172805.73
202312,QOP,Greater Manchester ICB,1006070000,"Brady, Shalin &  Naylor Partnership",BL3 1HH,E01004911,5342,172805.73,37.2,0,0,11,5,2,0,0,1,0,272,605,172805.73
202312,QR1,Gloucestershire ICB,1006160000,Rodericks Dental Ltd,GL52 2LZ,E01022102,24000,725647.62,400.6,0,0,80,47,5,1,7,53,0,1088,4166,725647.62
202312,QRV,North West London ICB,1006170000,S & Y Golar,W2 3BP,E01004682,12600,410853.33,764.2,1,0,43,29,22,7,36,46,0,233,1826,410853.33
202312,QR1,Gloucestershire ICB,1006180000,Rodericks Dental Ltd,GL2 4AL,E01032933,24000,725647.62,,,,,,,,,,,211,1550,725647.62
202312,QUA,Black Country ICB,1006220000,Dr Sudhakar Damodaraswamy,DY3 3TA,E01009896,6811,265900.2,522.2,0,0,166,35,21,0,11,11,1,398,2076,265900.2
202312,QNC,Staffordshire and Stoke-on-Trent ICB,1006310000,Genesis Smiles Centre LLP,ST1 3NF,E01014231,33500,1023691.85,1059.6,0,0,148,77,31,0,41,28,0,1400,3420,1023691.85
202312,QOP,Greater Manchester ICB,1006320000,Kings Dental Centre,SK14 3EH,E01006050,5495,172805.73,,,,,,,,,,,,40,172805.73
